Index, Type, Name, Location, Start Time (hh:mm:ss:fff), Duration (hh:mm:ss:fff)
0, Wall, ObstacleBox (31), RightSide, 00:00:39:416, 00:00:01:774
1, Wall, ObstacleBox (30), RightSide, 00:00:41:626, 00:00:01:777
2, Invisible, ObstacleBox (6), Other, 00:00:46:573, 00:00:01:741
3, Wall, ObstacleBox (30), RightSide, 00:00:53:034, 00:00:01:238
4, Wall, ObstacleBox (15), RightSide, 00:01:54:550, 00:00:00:872
5, Wall, ObstacleBox (44), LeftSide, 00:02:35:274, 00:00:00:702
6, Invisible, ObstacleBox (7), Other, 00:02:38:587, 00:00:01:072
7, Wall, ObstacleBox (45), LeftSide, 00:02:39:192, 00:00:02:078
8, Wall, ObstacleBox (44), LeftSide, 00:02:42:511, 00:00:00:904
9, Wall, ObstacleBox (48), LeftSide, 00:02:43:749, 00:00:00:468
10, Wall, ObstacleBox (47), LeftSide, 00:02:45:223, 00:00:01:776
11, Invisible, ObstacleBox (7), Other, 00:02:47:435, 00:00:06:291
